skupina,dtstamp,dtstart,dtend,trigger,location,description
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:43+00:00,2025-03-31T08:00:00+00:00,2025-03-31T10:30:00+00:00,-1 days +23:30:00,413,V-RaÄunalniÅ¡tvo in informatika-1.b skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:40+00:00,2024-11-14T10:45:00+00:00,2024-11-14T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove matematike v organizacijskih vedah-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:42+00:00,2025-01-14T08:00:00+00:00,2025-01-14T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-AngleÅ¡ki poslovni jezik-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:42+00:00,2025-01-10T10:45:00+00:00,2025-01-10T13:15:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Organizacija in management-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:42+00:00,2025-03-07T14:15:00+00:00,2025-03-07T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Osnove poslovodenja in raÄunovodstva-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:40+00:00,2024-11-14T14:15:00+00:00,2024-11-14T16:45:00+00:00,-1 days +23:30:00,111,V-Osnove prava-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:46+00:00,2025-05-26T08:00:00+00:00,2025-05-26T10:30:00+00:00,-1 days +23:30:00,401,V-Kadrovski management-2. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:42+00:00,2025-02-25T08:00:00+00:00,2025-02-25T10:30:00+00:00,-1 days +23:30:00,111,P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:43+00:00,2025-03-28T14:15:00+00:00,2025-03-28T16:45:00+00:00,-1 days +23:30:00,111,V-Osnove poslovodenja in raÄunovodstva-1. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:40+00:00,2024-11-12T08:00:00+00:00,2024-11-12T10:30:00+00:00,-1 days +23:30:00,111,V-Osnove naravoslovja in tehnologije-3. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:45+00:00,2025-04-24T10:45:00+00:00,2025-04-24T13:15:00+00:00,-1 days +23:30:00,413,V-Osnove statistike-3. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:46+00:00,2025-05-22T14:15:00+00:00,2025-05-22T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-V-RaÄunalniÅ¡tvo in informatika-4.a skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:41+00:00,2024-12-18T10:45:00+00:00,2024-12-18T13:15:00+00:00,-1 days +23:30:00,111,P-Organizacija in management-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:41+00:00,2024-12-05T10:45:00+00:00,2024-12-05T13:15:00+00:00,-1 days +23:30:00,111,P-Organizacija in management-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:43+00:00,2025-03-25T08:00:00+00:00,2025-03-25T10:30:00+00:00,-1 days +23:30:00,401,V-RaÄunalniÅ¡tvo in informatika-1.a skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:42+00:00,2025-03-06T10:45:00+00:00,2025-03-06T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove statistike-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:39+00:00,2024-10-08T14:15:00+00:00,2024-10-08T16:45:00+00:00,-1 days +23:30:00,111,P-Osnove prava-VS-Redni
